Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,ALB,Total fossil fuels and cement,GCP,CO2,2.0225,2.279,2.4622,2.0812,2.0152,2.1728,2.5501,2.6784,3.0704,3.2426,3.7409,4.3492,5.6389,5.2872,4.3418,4.591,4.9464,5.7158,6.4889,7.5808,5.1662,7.3353,7.3024,7.6248,7.819,7.8739,8.0498,7.4379,7.3207,8.9768,5.4447,4.2283,2.4952,2.3156,1.9126,2.0665,1.9932,1.5316,1.7441,2.9752,3.0045,3.2207,3.7483,4.2319,4.1037,4.1989,3.8435,3.8289,4.2722,4.2539,4.4481,5.0307,4.6679,4.9281,5.6206,4.4957,4.4921,5.3018,4.7339,4.8635,4.5347
Algeria,DZA,Cement,GCP,CO2,0.5233399999999999,0.53028,0.4322,0.43611000000000005,0.38887,0.36727,0.32709,0.35964,0.42901999999999996,0.46867,0.45792,0.47608999999999996,0.45792,0.4979,0.46518999999999994,0.46876999999999996,0.6883199999999999,0.8740700000000001,1.3214,1.8414,2.0217,2.1653,2.1263,2.3183,2.6606,2.9198,3.0825,3.5906,3.415,3.2233,2.9886,2.9694,2.9979,2.9884,2.8207,3.1652,3.0062,3.2713,3.4464,3.4353,3.7894,3.7658,4.0577,4.0321,4.8967,5.6615,6.54,7.0007,7.5834,8.2203,8.2523,8.1872,7.6967,7.2984,7.6679,8.062000000000001,9.3559,10.7095,10.7494,10.7494,10.7494
Algeria,DZA,Coal,GCP,CO2,1.2568,0.76531,0.40644,0.25282,0.28213,0.26395,0.27114,0.19045,0.2016,0.45053000000000004,0.97096,0.9013399999999999,0.64853,0.8207399999999999,0.69982,0.79133,0.58619,0.60456,0.57158,0.89402,1.6085,1.9091,1.9749,3.1476,4.0267,3.0778,2.7260000000000004,2.9678,2.975,2.9862,2.9422,2.6894,2.3779,1.9236,2.2862,1.9346,1.4069999999999998,1.3813,2.1105,2.1727,1.9602,2.0958,2.6088,2.7883,1.9236,2.3633,2.7004,3.0118,3.0082,1.5938,1.2165,1.0479,1.0369,0.72547,0.54594,0.50197,,0.79509,1.33,1.0986,1.0986
Algeria,DZA,Gas,GCP,CO2,,0.4504,0.68839,0.60456,1.1908,1.778,1.8503,1.7909,1.8841,2.4761,0.13557,0.67418,3.1364,3.1474,2.4512,4.4586,6.0634,3.6054,23.8563,8.1671,25.4795,11.1651,7.1704,16.6101,30.5101,27.6998,33.0859,40.1171,38.9723,36.673,38.908,38.428000000000004,31.9318,36.0977,37.3859,47.2216,50.5669,39.0069,54.6412,50.9202,38.5343,41.0295,44.6532,44.0266,41.208999999999996,61.2108,49.3064,51.0762,51.5506,54.894,53.3678,56.7206,64.1145,65.45,73.8333,78.7687,78.6771,82.3521,88.8866,92.4363,88.2185
Algeria,DZA,Gas flaring,GCP,CO2,,,,,,,,,,,6.6575,8.9805,16.8214,24.4352,18.6534,14.9914,20.7583,22.8927,23.5412,19.2836,18.6864,12.9459,9.2589,8.4058,10.981,16.4074,14.4252,12.1168,11.0611,11.7724,8.6947,8.6544,13.8976,12.9412,13.2045,15.5793,14.3995,13.325999999999999,13.3333,12.9517,11.1092,8.4309,8.5921,8.2587,7.0056,6.1848,6.422999999999999,8.9915,9.5267,10.5853,9.611,6.9321,6.7232,7.0422,7.5955,6.7601,6.2691,5.7708,5.5985,5.5986,5.5986
Algeria,DZA,Oil,GCP,CO2,4.3712,4.3099,4.1339999999999995,4.1257,3.7812,4.1793,5.9723,6.0906,6.5356,7.8677,6.837000000000001,7.6175,7.2584,9.3762,9.607000000000001,11.2912,11.0349,13.8682,13.1648,15.3595,18.6204,18.1566,18.6424,22.0222,22.7681,22.5043,22.7608,25.0911,27.2846,25.1534,23.2041,26.0657,28.6781,27.993000000000002,30.4502,27.0806,27.4067,30.0192,33.0896,22.1883,26.8278,28.4583,29.4952,31.9428,32.8184,31.0524,35.233000000000004,38.3218,37.3631,44.8913,45.3654,46.9197,48.5393,51.9189,52.8862,55.5902,54.6266,55.3081,54.9221,56.7591,49.3304
Algeria,DZA,Total fossil fuels and cement,GCP,CO2,6.1512,6.0559,5.6610000000000005,5.4192,5.643,6.5885,8.4209,8.4316,9.0502,11.263,15.059000000000001,18.6495,28.3226,38.2774,31.8767,32.0012,39.1311,41.8449,62.4553,45.5456,66.4165,46.342,39.173,52.5039,70.9465,72.6091,76.0804,83.8835,83.708,79.8083,76.7376,78.8068,79.8833,81.944,86.1475,94.9814,96.7863,87.0047,106.62100000000001,91.6682,82.221,83.7802,89.4069,91.0484,87.8534,106.4728,100.2029,108.4019,109.03200000000001,120.1848,117.81299999999999,119.8075,128.1106,132.435,142.5287,149.6829,148.9287,154.9356,161.4865,166.6419,154.9955
Andorra,AND,Oil,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41036999999999996,0.4067,0.42502,0.45433999999999997,0.46533,0.49098,0.5129600000000001,0.52395,0.52395,0.53128,0.53494,0.5605899999999999,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47631999999999997,0.46166,0.46533,0.46898999999999996,0.46533,0.49463999999999997,0.50185,0.46629
Andorra,AND,Total fossil fuels and cement,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41036999999999996,0.4067,0.42502,0.45433999999999997,0.46533,0.49098,0.5129600000000001,0.52395,0.52395,0.53128,0.53494,0.5605899999999999,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47631999999999997,0.46166,0.46533,0.46898999999999996,0.46533,0.49463999999999997,0.50185,0.46629
Angola,AGO,Cement,GCP,CO2,0.079425,0.07694,0.08333,0.09449099999999999,0.10539000000000001,0.11993,0.13083,0.1381,0.15231,0.18923,0.22146,0.26139,0.30866,0.3816,0.37405,0.32345,0.14732,0.14564000000000002,0.1896,0.18738,0.11323,0.11519000000000001,0.1137,0.099175,0.15682000000000001,0.15474000000000002,0.15277000000000002,0.1508,0.42167,0.41639,0.10674000000000002,0.10658,0.12278,0.10216,0.097929,0.081483,0.10983,0.12226,0.14194,0.083819,0.081264,0.22148,0.23945,0.27964,0.30001,0.5211100000000001,0.53901,0.54206,0.68465,0.6932,0.5784199999999999,0.76493,1.1471,1.557,1.9762,2.0305,1.7437,0.17825,1.9375,1.9375,1.9375
