country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ANNEXI,UNFCCC_AI,Agriculture,Aggregate GHGs,1717.4176952313585,1659.700498088665,1616.859881493576,1611.6494587191119,1563.2018537920087,1545.6740467969917,1538.3013082300388,1508.6351169198767,1498.2371435753612,1476.3017174896459,1456.5252584935067,1465.5530264044614,1455.0896208486372,1443.8798219426444,1454.7468376520171,1440.212615936245,1427.7176761840105,1445.447313691217,1436.3161463135725,1429.6097793215415,1429.0584902045905,1424.1160364682241,1413.5754311204664,1469.736420517778,1485.4267895655248,1487.9792700376993,1486.3683444681199,1497.9925738864995,1513.151832148028,1514.2948309906628
ANNEXI,UNFCCC_AI,Agriculture,CH4,865.7777358786494,851.0625463698588,836.7141008260857,825.4428406435796,819.4647888032653,807.5223036114768,796.5695774469261,776.7229094349016,767.2982156433815,758.9749500384647,755.4331624359129,746.6715753041842,742.7955888939485,735.6488920610553,726.771977951041,731.2820500315993,725.1486576233415,731.0110142752898,718.2110070903233,713.7826612059814,710.0658693390643,705.8914406333777,710.6439319602547,708.470446549168,709.3459913799516,714.2214657646682,719.784800362003,727.9888889176083,733.4340223729248,728.8634139253039
ANNEXI,UNFCCC_AI,Agriculture,CO2,41.41856913299101,36.39161281497965,33.0554490080513,29.757494023367702,26.788317367499094,26.802367099579634,25.205921561134215,24.97399091333886,25.966544237584518,25.91430345818484,25.74996122521126,25.620235591212012,26.63586057342589,27.512102115665144,26.448321413300288,26.73014512355611,26.054284674045842,26.94128602747328,27.280942301253248,25.538669446519357,27.46126500439085,27.20792395564906,30.216650686660955,28.681833854861303,29.35724256679148,29.293563064153346,29.78871324916694,29.969715099760325,29.29030761079677,29.259148847391977
ANNEXI,UNFCCC_AI,Agriculture,N2O,810.221390219718,772.2463389038265,747.0903316594391,756.4491240521645,716.9487476212446,711.3493760859353,716.5258092219783,706.9382165716364,704.9723836943954,691.4124639929963,675.3421348323824,693.2612155090652,685.6581713812627,680.7188277659238,701.5265382876757,682.2004207810894,676.5147338866233,687.4950133884539,690.824196921996,690.2884486690409,691.5313558611352,691.0166718791975,672.7148484735509,732.5841401137487,746.7235556187817,744.4642412088778,736.7948308569499,740.033969869131,750.4275021643065,756.1722682179669
ANNEXI,UNFCCC_AI,Energy,Aggregate GHGs,15151.562068437403,14888.153441526922,14411.531018233094,14262.134822877015,14050.195108288488,14108.38581822715,14409.355490192153,14294.788709733835,14285.676706037706,14323.759817029879,14545.219951990664,14560.405955604007,14576.183520693085,14818.803439100819,14918.260009261603,14963.299106011607,14941.74763301096,15038.846936549893,14714.459792496777,13792.503516443932,14198.544764252576,14029.324682277573,13833.70494890527,13801.848095738262,13576.765633349896,13405.270317785706,13259.272468986826,13252.636789107864,13357.82253866517,13019.6143447427
ANNEXI,UNFCCC_AI,Energy,CH4,1043.2836983559512,1008.4622502746578,979.5226243432452,945.8835814609258,908.899011991995,889.4712735606502,883.5636349685728,880.6681388921008,856.0648688732294,844.9972181120922,823.9596142627485,816.4771558861767,787.1622584672903,793.2115757283385,787.3863964399288,778.5147190628483,783.5248880202957,777.6741352232572,783.9795638847285,737.9680933104987,744.1566819093314,729.8596071372912,718.493246956034,708.8790073457161,692.3011812326595,670.8286556815831,658.6676102055068,647.9318013461719,656.3608476397881,654.1830900563804
ANNEXI,UNFCCC_AI,Energy,CO2,13971.183054142015,13742.845210085026,13294.398400373928,13176.981118192967,13000.081982788553,13073.34402196484,13377.380681560928,13263.488186223836,13278.041766185599,13329.936992910503,13573.02351019696,13597.66491248999,13645.378366649695,13881.410954456998,13987.83211077381,14045.157542164936,14019.751059739143,14126.547564717559,13799.289759077348,12930.829096448777,13329.526247912803,13177.401246465295,13000.082191626654,12977.846752846192,12771.562993120957,12624.990578391766,12493.122002030199,12498.42774390006,12596.954711159391,12266.22847560208
ANNEXI,UNFCCC_AI,Energy,N2O,137.09531593943757,136.84598116723714,137.60999351592193,139.27012322312163,141.21411350793818,145.5705227016591,148.4111736626516,150.63238461789754,151.5700709788775,148.82560600728556,148.23682753095687,146.26388722783858,143.64289557609868,144.1809089154833,143.04150204786458,139.62684478382343,138.47168525151983,134.62523660907635,131.1904695347,123.70632668465495,124.86183443043885,122.06382867498704,115.12951032258218,115.12233554635488,112.90145899627859,109.45108371235538,107.4828567511206,106.2772438616343,104.50697986599096,99.20277908424009
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,Aggregate F-gases,285.90539160432616,278.16379598489544,270.56230385056455,263.64321264912655,272.12190145658644,305.18358505448293,318.2045780462223,332.3560154811887,348.24261556038147,327.69879789644796,326.59077540383385,302.3506769731041,303.74421552949093,292.9556299919123,304.84699236762157,315.32327123614357,321.9115913971359,339.4854099102891,346.9925696194051,332.81562847290877,353.5154178441081,366.4843865256934,381.2785702591922,392.33616378002995,402.2336595809763,400.87173952796996,406.852307381047,421.01257406620095,426.8569338337822,424.48004321361435
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,Aggregate GHGs,1522.419817549832,1432.5911193375669,1383.627919468382,1324.0534580155359,1334.3969330125942,1390.307894556712,1391.032467026154,1405.983059301798,1367.2734151776901,1331.797272664063,1362.0052469830464,1297.5874830151665,1298.4545884485128,1307.830348286844,1361.2463228914905,1361.7627916748074,1389.2970351864321,1429.7363533266168,1363.8531888814716,1169.5941665199598,1268.2431576248507,1303.8121867368345,1298.0561092414296,1301.3763556801568,1309.5829614498134,1291.5833698558051,1292.1627569895193,1313.1630271165177,1327.836652008964,1309.0370660775855
